2024-03-16-19-34-07, count:793, damage:0
2024-03-16-19-35-03, count:794, damage:0
2024-03-16-19-36-00, count:795, damage:0
2024-03-16-19-36-30, count:796, damage:-987
2024-03-16-19-36-59, count:797, damage:-1893
2024-03-16-19-37-36, count:798, damage:-185
2024-03-16-19-38-05, count:799, damage:2571
2024-03-16-19-38-53, count:800, damage:-200
2024-03-16-19-39-21, count:801, damage:-208
2024-03-16-19-40-00, count:802, damage:-2014
2024-03-16-19-40-40, count:803, damage:-2280
2024-03-16-19-41-16, count:804, damage:-853
2024-03-16-19-41-47, count:805, damage:-192
2024-03-16-19-42-19, count:806, damage:-147
2024-03-16-19-42-48, count:807, damage:-2366
2024-03-16-19-43-16, count:808, damage:-183
2024-03-16-19-43-47, count:809, damage:-178
2024-03-16-19-44-15, count:810, damage:-193
2024-03-16-19-44-53, count:811, damage:-184
2024-03-16-19-45-29, count:812, damage:-176
2024-03-16-19-46-01, count:813, damage:-1927
2024-03-16-19-46-30, count:814, damage:-2196
2024-03-16-19-47-08, count:815, damage:-1973
2024-03-16-19-47-45, count:816, damage:-2276
2024-03-16-19-48-20, count:817, damage:-988
2024-03-16-19-49-00, count:818, damage:-1936
2024-03-16-19-49-29, count:819, damage:-169
2024-03-16-19-50-02, count:820, damage:-2111
2024-03-16-19-50-36, count:821, damage:-2345
2024-03-16-19-51-27, count:822, damage:-966
2024-03-16-19-52-04, count:823, damage:-2212
2024-03-16-19-53-16, count:824, damage:-150
2024-03-16-19-53-53, count:825, damage:2790
2024-03-16-20-17-17, count:826, damage:-177
2024-03-16-20-17-56, count:827, damage:-167
2024-03-16-20-18-29, count:828, damage:-960
2024-03-16-20-18-58, count:829, damage:2509
2024-03-16-20-19-53, count:830, damage:-197
2024-03-16-20-20-26, count:831, damage:-728
2024-03-16-20-20-58, count:832, damage:-2231
2024-03-16-20-21-37, count:833, damage:-155
2024-03-16-20-22-09, count:834, damage:-198
2024-03-16-20-22-54, count:835, damage:-145
2024-03-16-20-23-36, count:836, damage:-195
2024-03-16-20-24-05, count:837, damage:-2250
2024-03-16-20-24-36, count:838, damage:-2361
2024-03-16-20-25-12, count:839, damage:-2078
